filepath,filename,filetype,author,category,comments,content_status,created,identifier,keywords,language,last_modified_by,last_printed,modified,revision,subject,title,version
string,string,string,string,string,string,string,datetime,string,string,string,string,datetime,datetime,integer,string,string,string
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\01_r3.01_jlp_Kickoff Meeting Checklist.docx,01_r3.01_jlp_Kickoff Meeting Checklist.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Kickoff Meeting Checklist,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\02_r3.01_jlp_Production Control Log v1.0.docx,02_r3.01_jlp_Production Control Log v1.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Production Control Log,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\03_r3.01_jlp_Shipley Bidder Comparison Charts v3.2.1.xlsx,03_r3.01_jlp_Shipley Bidder Comparison Charts v3.2.1.xlsx,.xlsx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Bidder Comparison Charts,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\04_r3.01_jlp_Shipley Blank 30-Day Schedule v2.1.1.xlsx,04_r3.01_jlp_Shipley Blank 30-Day Schedule v2.1.1.xlsx,.xlsx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Blank 30-Day Schedule,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\05_r3.01_jlp_Shipley Executive Summary Organizer v4.0.1 (2).docx,05_r3.01_jlp_Shipley Executive Summary Organizer v4.0.1 (2).docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Executive Summary Organizer,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\06_r3.01_jlp_Shipley Executive Summary Planning Worksheet v3.0.docx,06_r3.01_jlp_Shipley Executive Summary Planning Worksheet v3.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Executive Summary Planning Worksheet,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\07_r3.01_jlp_Shipley Final Production Instructions v1.0.docx,07_r3.01_jlp_Shipley Final Production Instructions v1.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Final Production Instructions,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\08_r3.01_jlp_Shipley Four-Box Template v4.1.2.docx,08_r3.01_jlp_Shipley Four-Box Template v4.1.2.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Four-Box Template,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\09_r3.01_jlp_Shipley Green Team Assessment Form v2.0.docx,09_r3.01_jlp_Shipley Green Team Assessment Form v2.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Green Team Assessment Form,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\10_r3.01_jlp_Shipley Green Team Instructions v2.0.docx,10_r3.01_jlp_Shipley Green Team Instructions v2.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Green Team Instructions,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\11_r3.01_jlp_Shipley Green Team Planner v2.0.docx,11_r3.01_jlp_Shipley Green Team Planner v2.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Green Team Planner,Keep
D:\Dropbox\~McKinnon-Mulherin\2419 Shipley Macros\Third_Draft\12_r3.01_jlp_Shipley Green Team Review Form v2.0.docx,12_r3.01_jlp_Shipley Green Team Review Form v2.0.docx,.docx,,Tools and Templates,Keep,Keep,2017-03-19,Keep,Keep,English,,2017-03-19,2017-03-19,1,Keep,Green Team Review Form,Keep
